TIME,ITERATION,OBJECTIVE,TYPE,DETAIL
3/31/26, 3:32:12 PM PDT,0,0.0,Status,"Adding groups from ..\tracks_overlay_basecase_sum\groups.csv"
3/31/26, 3:32:12 PM PDT,0,0.0,Load file,"Group file '..\tracks_overlay_basecase_sum\groups.csv'"
3/31/26, 3:32:12 PM PDT,0,0.0,Status,"Values from account 'product.Yield.managed.CW' will be duplicated into account 'value.stumpage.CW'"
3/31/26, 3:32:12 PM PDT,0,0.0,Status,"Values from account 'product.Yield.managed.FDC' will be duplicated into account 'value.stumpage.FDC'"
3/31/26, 3:32:12 PM PDT,0,0.0,Status,"Values from account 'product.Yield.managed.HW' will be duplicated into account 'value.stumpage.HW'"
3/31/26, 3:32:12 PM PDT,0,0.0,Status,"Values from account 'value.stumpage.CW' will be duplicated into account 'value.stumpage.total'"
3/31/26, 3:32:12 PM PDT,0,0.0,Status,"Values from account 'value.stumpage.FDC' will be duplicated into account 'value.stumpage.total'"
3/31/26, 3:32:12 PM PDT,0,0.0,Status,"Values from account 'value.stumpage.HW' will be duplicated into account 'value.stumpage.total'"
3/31/26, 3:32:12 PM PDT,0,0.0,Status,"Values from account 'product.Yield.managed.Total' will be duplicated into account 'value.harvcost.total'"
3/31/26, 3:32:12 PM PDT,0,0.0,Status,"Values from account 'product.Yield.managed.CW' will be duplicated into account 'value.grevenue.CW'"
3/31/26, 3:32:12 PM PDT,0,0.0,Status,"Values from account 'product.Yield.managed.FDC' will be duplicated into account 'value.grevenue.FDC'"
3/31/26, 3:32:12 PM PDT,0,0.0,Status,"Values from account 'product.Yield.managed.HW' will be duplicated into account 'value.grevenue.HW'"
3/31/26, 3:32:12 PM PDT,0,0.0,Status,"Values from account 'value.grevenue.CW' will be duplicated into account 'value.grevenue.total'"
3/31/26, 3:32:12 PM PDT,0,0.0,Status,"Values from account 'value.grevenue.FDC' will be duplicated into account 'value.grevenue.total'"
3/31/26, 3:32:12 PM PDT,0,0.0,Status,"Values from account 'value.grevenue.HW' will be duplicated into account 'value.grevenue.total'"
3/31/26, 3:32:12 PM PDT,0,0.0,Load file,"Topology file '..\blocks\topology_blocks_200r.csv'"
3/31/26, 3:32:12 PM PDT,0,0.0,Status,"Loading topology from ..\blocks\topology_blocks_200r.csv using a distance of 100.0"
3/31/26, 3:32:12 PM PDT,0,0.0,Status,"1221 edge records loaded from topology file"
3/31/26, 3:32:12 PM PDT,0,0.0,Status,"334 attribute summary accounts"
3/31/26, 3:32:12 PM PDT,0,0.0,Status,"9 intermediate summary accounts"
3/31/26, 3:32:12 PM PDT,0,0.0,Status,"21 meta accounts"
3/31/26, 3:32:12 PM PDT,0,0.0,Status,"364 targets"
3/31/26, 3:32:12 PM PDT,0,0.0,Status,"Initialize account values"
3/31/26, 3:32:12 PM PDT,0,0.0,Target values changed,"Changes started at 3/31/26, 3:32:12 PM PDT"
3/31/26, 3:32:12 PM PDT,0,0.0,Initialized,""
