BLOCK,DELTA,AGE,TYPE,TREATMENT
128,281,90,MANAGED,CC
129,23,150,MANAGED,CC
129,141,118,MANAGED,CC
129,256,115,MANAGED,CC
130,41,238,MANAGED,CC
131,23,260,MANAGED,CC
131,143,120,MANAGED,CC
133,13,70,MANAGED,CC
133,92,79,MANAGED,CC
133,183,91,MANAGED,CC
133,253,70,MANAGED,CC
134,109,156,MANAGED,CC
134,292,183,MANAGED,CC
135,281,338,MANAGED,CC
136,51,108,MANAGED,CC
138,61,118,MANAGED,CC
138,177,116,MANAGED,CC
138,293,116,MANAGED,CC
139,68,115,MANAGED,CC
139,282,214,MANAGED,CC
141,24,81,MANAGED,CC
141,108,84,MANAGED,CC
141,200,92,MANAGED,CC
141,274,74,MANAGED,CC
146,2,59,MANAGED,CC
146,57,55,MANAGED,CC
146,116,59,MANAGED,CC
146,178,62,MANAGED,CC
146,234,56,MANAGED,CC
146,292,58,MANAGED,CC
147,24,81,MANAGED,CC
147,112,88,MANAGED,CC
147,188,76,MANAGED,CC
147,273,85,MANAGED,CC
148,35,82,MANAGED,CC
148,115,80,MANAGED,CC
148,191,76,MANAGED,CC
148,264,73,MANAGED,CC
149,80,127,MANAGED,CC
149,151,71,MANAGED,CC
149,238,87,MANAGED,CC
150,141,228,MANAGED,CC
151,97,144,MANAGED,CC
151,183,86,MANAGED,CC
151,284,101,MANAGED,CC
152,26,73,MANAGED,CC
152,118,92,MANAGED,CC
152,190,72,MANAGED,CC
152,273,83,MANAGED,CC
153,3,130,MANAGED,CC
153,112,109,MANAGED,CC
153,196,84,MANAGED,CC
153,296,100,MANAGED,CC
154,5,72,MANAGED,CC
154,92,87,MANAGED,CC
154,174,82,MANAGED,CC
154,249,75,MANAGED,CC
155,66,193,MANAGED,CC
155,248,182,MANAGED,CC
159,71,178,MANAGED,CC
161,42,169,MANAGED,CC
161,192,150,MANAGED,CC
161,283,91,MANAGED,CC
162,54,113,MANAGED,CC
162,190,136,MANAGED,CC
163,46,103,MANAGED,CC
163,129,83,MANAGED,CC
163,212,83,MANAGED,CC
163,292,80,MANAGED,CC
164,294,401,MANAGED,CC
166,132,179,MANAGED,CC
166,270,138,MANAGED,CC
167,6,63,MANAGED,CC
167,83,77,MANAGED,CC
167,162,79,MANAGED,CC
167,229,67,MANAGED,CC
167,290,61,MANAGED,CC
169,33,90,MANAGED,CC
169,111,78,MANAGED,CC
169,195,84,MANAGED,CC
169,283,88,MANAGED,CC
170,143,246,MANAGED,CC
173,135,312,MANAGED,CC
173,273,138,MANAGED,CC
175,12,69,MANAGED,CC
175,82,70,MANAGED,CC
175,160,78,MANAGED,CC
175,231,71,MANAGED,CC
175,294,63,MANAGED,CC
176,62,189,MANAGED,CC
176,242,180,MANAGED,CC
177,62,189,MANAGED,CC
177,263,201,MANAGED,CC
178,30,87,MANAGED,CC
178,133,103,MANAGED,CC
178,232,99,MANAGED,CC
180,32,79,MANAGED,CC
180,113,81,MANAGED,CC
180,189,76,MANAGED,CC
180,287,98,MANAGED,CC
181,53,110,MANAGED,CC
182,230,357,MANAGED,CC
183,24,71,MANAGED,CC
183,94,70,MANAGED,CC
183,168,74,MANAGED,CC
183,244,76,MANAGED,CC
184,150,207,MANAGED,CC
187,87,164,MANAGED,CC
188,219,266,MANAGED,CC
190,30,77,MANAGED,CC
190,129,99,MANAGED,CC
190,202,73,MANAGED,CC
190,282,80,MANAGED,CC
191,88,145,MANAGED,CC
191,153,65,MANAGED,CC
191,232,79,MANAGED,CC
193,16,73,MANAGED,CC
193,94,78,MANAGED,CC
193,166,72,MANAGED,CC
193,265,99,MANAGED,CC
196,63,130,MANAGED,CC
196,140,77,MANAGED,CC
196,210,70,MANAGED,CC
196,282,72,MANAGED,CC
198,261,308,MANAGED,CC
199,131,288,MANAGED,CC
203,259,336,MANAGED,CC
205,9,116,MANAGED,CC
205,111,102,MANAGED,CC
205,243,132,MANAGED,CC
206,71,178,MANAGED,CC
207,31,88,MANAGED,CC
207,102,71,MANAGED,CC
207,193,91,MANAGED,CC
207,281,88,MANAGED,CC
208,131,178,MANAGED,CC
209,38,345,MANAGED,CC
209,144,106,MANAGED,CC
209,277,133,MANAGED,CC
210,288,415,MANAGED,CC
211,26,153,MANAGED,CC
211,257,231,MANAGED,CC
212,43,120,MANAGED,CC
212,128,85,MANAGED,CC
216,45,152,MANAGED,CC
216,125,80,MANAGED,CC
216,257,132,MANAGED,CC
218,19,146,MANAGED,CC
218,117,98,MANAGED,CC
218,214,97,MANAGED,CC
218,298,84,MANAGED,CC
