TARGET,PERIODS,ACTIVE,MINACTIVE,MAXACTIVE,DISCOUNT,LINEAR,PREMULTIPLY
feature.QMD.unmanaged.CWHvm_HW_CW_H,31,false,false,false,1.0,false,false
feature.QMD.unmanaged.CWHvm_HW_CW_L,31,false,false,false,1.0,false,false
feature.QMD.unmanaged.CWHvm_HW_CW_M,31,false,false,false,1.0,false,false
feature.QMD.unmanaged.CWHvm_HW_FDC_H,31,false,false,false,1.0,false,false
feature.QMD.unmanaged.CWHvm_HW_FDC_L,31,false,false,false,1.0,false,false
feature.QMD.unmanaged.CWHvm_HW_SS_M,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_CW_HW_M.immature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_CW_HW_M.mature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_CW_HW_M.overmature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_CW_HW_M.regenerating,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_CW_HW_M.young,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_CW_PLC_M.immature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_CW_PLC_M.mature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_CW_PLC_M.overmature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_CW_PLC_M.regenerating,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_CW_PLC_M.young,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_CW_YC_M.immature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_CW_YC_M.mature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_CW_YC_M.overmature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_CW_YC_M.regenerating,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_CW_YC_M.young,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_DR_HW_M.immature,31,false,false,false,1.0,false,false
feature.Seral.CWHvm_DR_HW_M.mature,31,false,false,false,1.0,false,false
