BLOCK,DELTA,AGE,TYPE,TREATMENT
122,101,100,MANAGED,CC
122,201,100,MANAGED,CC
122,300,99,MANAGED,CC
123,35,82,MANAGED,CC
123,117,82,MANAGED,CC
123,200,83,MANAGED,CC
123,280,80,MANAGED,CC
125,31,138,MANAGED,CC
125,162,131,MANAGED,CC
125,300,138,MANAGED,CC
126,77,124,MANAGED,CC
126,197,120,MANAGED,CC
126,300,103,MANAGED,CC
127,51,98,MANAGED,CC
127,143,92,MANAGED,CC
127,240,97,MANAGED,CC
128,32,89,MANAGED,CC
128,117,85,MANAGED,CC
128,200,83,MANAGED,CC
128,280,80,MANAGED,CC
129,1,128,MANAGED,CC
129,93,92,MANAGED,CC
129,187,94,MANAGED,CC
129,280,93,MANAGED,CC
132,1,108,MANAGED,CC
132,91,90,MANAGED,CC
132,181,90,MANAGED,CC
132,270,89,MANAGED,CC
133,20,77,MANAGED,CC
133,115,95,MANAGED,CC
133,207,92,MANAGED,CC
133,300,93,MANAGED,CC
134,64,111,MANAGED,CC
134,194,130,MANAGED,CC
134,290,96,MANAGED,CC
135,19,76,MANAGED,CC
135,99,80,MANAGED,CC
135,180,81,MANAGED,CC
135,270,90,MANAGED,CC
136,13,70,MANAGED,CC
136,78,65,MANAGED,CC
136,141,63,MANAGED,CC
136,202,61,MANAGED,CC
136,260,58,MANAGED,CC
137,50,97,MANAGED,CC
137,162,112,MANAGED,CC
137,270,108,MANAGED,CC
140,37,90,MANAGED,CC
140,120,83,MANAGED,CC
140,200,80,MANAGED,CC
140,280,80,MANAGED,CC
141,44,101,MANAGED,CC
141,151,107,MANAGED,CC
141,250,99,MANAGED,CC
145,31,138,MANAGED,CC
145,158,127,MANAGED,CC
145,280,122,MANAGED,CC
146,9,66,MANAGED,CC
146,88,79,MANAGED,CC
146,164,76,MANAGED,CC
146,234,70,MANAGED,CC
146,294,60,MANAGED,CC
147,27,84,MANAGED,CC
147,114,87,MANAGED,CC
147,197,83,MANAGED,CC
147,280,83,MANAGED,CC
148,38,85,MANAGED,CC
148,128,90,MANAGED,CC
148,217,89,MANAGED,CC
148,300,83,MANAGED,CC
149,71,118,MANAGED,CC
149,190,119,MANAGED,CC
149,300,110,MANAGED,CC
150,41,128,MANAGED,CC
150,169,128,MANAGED,CC
150,290,121,MANAGED,CC
154,71,138,MANAGED,CC
154,177,106,MANAGED,CC
154,260,83,MANAGED,CC
161,1,128,MANAGED,CC
161,101,100,MANAGED,CC
161,201,100,MANAGED,CC
161,300,99,MANAGED,CC
162,31,90,MANAGED,CC
162,120,89,MANAGED,CC
162,208,88,MANAGED,CC
162,290,82,MANAGED,CC
163,54,111,MANAGED,CC
