CURVE,X,Y
445,0,0.68593
305,0,0.682
138,0,0.58794
124,0,0.58794
1355,0,0.8
2120,0,0.825
2112,0,0.825
235,0,0.8
2350,0,0.7
2350,1,0.7
2350,10,6.5
2350,20,13.1
2350,30,19.6
2350,40,26.2
2350,60,39.2
2350,70,45.8
2350,80,52.3
2350,90,58.9
2350,110,71.9
2350,120,78.5
2350,130,85
2350,140,91.6
2350,160,104.6
2350,170,111.2
2350,180,117.7
2350,190,124.3
2350,210,137.3
2350,220,143.9
2350,230,150.4
2350,240,157
2350,260,170
2350,270,176.6
2350,280,183.1
2350,290,189.7
2350,299,195.5
1263,0,0.7
1263,1,0.7
1263,10,6.5
1263,20,13.1
1263,30,19.6
1263,40,26.2
1263,60,39.2
1263,70,45.8
1263,80,52.3
1263,90,58.9
1263,110,71.9
1263,120,78.5
1263,130,85
1263,140,91.6
1263,160,104.6
1263,170,111.2
1263,180,117.7
1263,190,124.3
1263,210,137.3
1263,220,143.9
1263,230,150.4
1263,240,157
1263,260,170
1263,270,176.6
1263,280,183.1
1263,290,189.7
1263,299,195.5
2606,0,0.7
2606,1,0.7
2606,10,7.1
2606,20,14.3
2606,30,21.4
2606,40,28.6
2606,60,42.8
2606,70,50
2606,80,57.1
2606,90,64.3
2606,110,78.5
2606,120,85.7
2606,130,92.8
2606,140,100
2606,160,114.2
2606,170,121.4
2606,180,128.5
2606,190,135.7
2606,210,149.9
2606,220,157.1
2606,230,164.2
2606,240,171.4
2606,260,185.6
2606,270,192.8
2606,280,199.9
2606,290,207.1
2606,299,213.5
116,0,0.7
116,1,0.7
116,10,7.1
116,20,14.3
116,30,21.4
116,40,28.6
116,60,42.8
116,70,50
116,80,57.1
116,90,64.3
116,110,78.5
116,120,85.7
116,130,92.8
116,140,100
116,160,114.2
116,170,121.4
116,180,128.5
116,190,135.7
116,210,149.9
116,220,157.1
116,230,164.2
116,240,171.4
116,260,185.6
116,270,192.8
116,280,199.9
116,290,207.1
116,299,213.5
1415,0,0.5
1415,1,0.5
1415,20,10
1415,30,15.1
1415,70,35.1
1415,80,40.2
1415,120,60.2
1415,130,65.3
1415,170,85.3
1415,180,90.4
1415,220,110.4
1415,230,115.5
1415,270,135.5
1415,280,140.6
1415,299,150.1
3,0,0.5
3,1,0.5
3,10,5.2
