CURVE,X,Y
2431,180,101.9
2431,190,107.5
2431,210,118.9
2431,220,124.5
2431,230,130.2
2431,240,135.8
2431,260,147.2
2431,270,152.8
2431,280,158.5
2431,290,164.1
2431,299,169.2
1854,0,0.6
1854,1,0.6
1854,10,6.3
1854,20,12.6
1854,30,18.8
1854,70,44
1854,80,50.2
1854,120,75.4
1854,130,81.6
1854,170,106.8
1854,180,113
1854,220,138.2
1854,230,144.4
1854,270,169.6
1854,280,175.8
1854,290,182.1
1854,299,187.8
441,0,0.6
441,1,0.6
441,10,6.3
441,20,12.6
441,30,18.8
441,70,44
441,80,50.2
441,120,75.4
441,130,81.6
441,170,106.8
441,180,113
441,220,138.2
441,230,144.4
441,270,169.6
441,280,175.8
441,290,182.1
441,299,187.8
325,0,0.682
458,0,0.68593
445,0,0.68593
305,0,0.682
138,0,0.58794
124,0,0.58794
1342,0,0.8
2107,0,0.825
2099,0,0.825
235,0,0.8
2337,0,0.7
2337,1,0.7
2337,10,6.5
2337,20,13.1
2337,30,19.6
2337,40,26.2
2337,60,39.2
2337,70,45.8
2337,80,52.3
2337,90,58.9
2337,110,71.9
2337,120,78.5
2337,130,85
2337,140,91.6
2337,160,104.6
2337,170,111.2
2337,180,117.7
2337,190,124.3
2337,210,137.3
2337,220,143.9
2337,230,150.4
2337,240,157
2337,260,170
2337,270,176.6
2337,280,183.1
2337,290,189.7
2337,299,195.5
1250,0,0.7
1250,1,0.7
1250,10,6.5
1250,20,13.1
1250,30,19.6
1250,40,26.2
1250,60,39.2
1250,70,45.8
1250,80,52.3
1250,90,58.9
1250,110,71.9
1250,120,78.5
1250,130,85
1250,140,91.6
1250,160,104.6
1250,170,111.2
1250,180,117.7
1250,190,124.3
1250,210,137.3
1250,220,143.9
1250,230,150.4
1250,240,157
1250,260,170
1250,270,176.6
1250,280,183.1
1250,290,189.7
1250,299,195.5
2593,0,0.7
2593,1,0.7
2593,10,7.1
2593,20,14.3
2593,30,21.4
2593,40,28.6
2593,60,42.8
2593,70,50
2593,80,57.1
2593,90,64.3
2593,110,78.5
2593,120,85.7
2593,130,92.8
2593,140,100
2593,160,114.2
2593,170,121.4
2593,180,128.5
2593,190,135.7
2593,210,149.9
2593,220,157.1
2593,230,164.2
2593,240,171.4
2593,260,185.6
2593,270,192.8
2593,280,199.9
2593,290,207.1
2593,299,213.5
116,0,0.7
116,1,0.7
116,10,7.1
116,20,14.3
116,30,21.4
116,40,28.6
116,60,42.8
116,70,50
116,80,57.1
116,90,64.3
116,110,78.5
116,120,85.7
116,130,92.8
116,140,100
116,160,114.2
116,170,121.4
116,180,128.5
116,190,135.7
116,210,149.9
116,220,157.1
116,230,164.2
116,240,171.4
116,260,185.6
116,270,192.8
116,280,199.9
116,290,207.1
116,299,213.5
1402,0,0.5
1402,1,0.5
1402,20,10
1402,30,15.1
1402,70,35.1
1402,80,40.2
1402,120,60.2
1402,130,65.3
1402,170,85.3
1402,180,90.4
1402,220,110.4
1402,230,115.5
1402,270,135.5
1402,280,140.6
1402,299,150.1
3,0,0.5
3,1,0.5
3,10,5.2
3,20,10.4
3,30,15.7
3,70,36.5
3,80,41.8
3,120,62.6
3,130,67.9
3,170,88.7
3,180,94
3,220,114.8
3,230,120.1
3,270,140.9
3,280,146.2
3,290,151.4
3,299,156.1
945,0,200
2100,0,275
1408,0,275
846,0,250
1957,0,349
619,0,300
22,0,1
30,0,1
30,5,1
30,6,0
2339,0,474.5
1633,0,449.5
1252,0,474.5
1151,0,449.5
1859,0,500
446,0,500
309,0,350
2585,0,650
2438,0,650
127,0,524.5
231,9,0
232,9,0
232,10,1
232,11,0
1175,79,0
1727,79,0
1727,80,0.00102
1732,79,0
1732,80,0.00153
1622,79,0
1622,80,0.00195
1619,79,0
1619,80,0.00214
1529,79,0
1529,80,0.002
1623,79,0
1623,80,0.00234
2577,79,0
2577,80,0.00909
1624,79,0
1624,80,0.00974
1617,79,0
1617,80,0.00955
1530,79,0
1530,80,0.0024
1526,79,0
1526,80,0.0022
2501,79,0
2501,80,0.0125
1531,79,0
1531,80,0.01
1524,79,0
1524,80,0.0098
1248,79,0
1248,80,0.0015
1729,79,0
1729,80,0.01643
1728,79,0
1728,80,0.02602
2579,79,0
2579,80,0.04546
2580,79,0
2580,80,0.07273
2502,79,0
2502,80,0.0625
2212,79,0
2212,80,0.08889
2154,79,0
2154,80,0.05
1620,79,0
1620,80,0.09743
1527,79,0
1527,80,0.036
1246,79,0
1246,80,0.09799
1245,79,0
1245,80,0.0161
1243,79,0
1243,80,0.001
2210,79,0
2210,80,0.11111
2578,79,0
2578,80,0.14546
2211,79,0
2211,80,0.17778
2153,79,0
2153,80,0.125
1618,79,0
1618,80,0.19486
1244,79,0
1244,80,0.19598
2582,79,0
2582,80,0.21818
1711,79,0
1711,80,0.3
1711,140,0.3
1711,150,0.2
1711,200,0.2
1711,210,0.1
1711,220,0.2
1711,270,0.2
1711,280,0.1
1730,79,0
1730,80,0.37532
1525,79,0
1525,80,0.3656
2504,79,0
2504,80,0.3
1612,79,0
1612,80,0.3
1612,90,0.2
1612,100,0.2
1612,110,0.1
1612,130,0.3
1612,180,0.3
1612,190,0.2
1612,200,0.3
1612,210,0.3
1612,220,0.1
1612,230,0.3
1612,270,0.3
1612,280,0.2
1612,290,0.3
1612,300,0.3
1612,310,0.2
1612,320,0.3
1612,330,0.2
1612,350,0.4
2488,79,0
2488,80,0.3
2488,90,0.2
2488,150,0.2
2488,160,0.1
2488,300,0.1
2488,310,0
2488,320,0.1
2488,330,0
2488,340,0.1
1609,79,0
1609,80,0.3
1609,90,0.2
1609,100,0.3
1609,120,0.3
1609,130,0.2
1609,140,0.3
1609,150,0.2
1609,160,0
1609,170,0.2
1609,180,0.2
1609,190,0
1609,210,0
1609,220,0.2
1609,240,0
1554,79,0
1554,80,0.3
1554,90,0.6
1554,100,0.7
1554,110,1.1
1554,130,2.5
1554,150,3.5
1554,170,4.1
1554,180,4.2
1554,190,4.6
1554,200,4.7
1554,210,5
1554,220,5.1
1554,230,5.1
1554,240,5.4
1554,250,5.6
1554,260,5.7
1554,270,5.6
1554,280,5.7
1554,290,5.7
1554,300,5.9
1554,310,5.9
1554,330,6.1
1554,340,6
1554,350,6.1
2148,79,0
2148,80,0.3
2148,100,0.3
2148,110,0.4
2148,120,0.3
2148,140,0.3
2148,150,0.4
2148,160,0.3
2148,200,0.3
2148,210,0.4
2148,220,0.2
2148,230,0.3
2148,270,0.3
2148,280,0.2
2148,290,0.3
2148,300,0.2
2148,310,0.4
2148,320,0.2
2148,330,0.2
2148,350,0.4
1475,79,0
1475,80,0.3
1475,100,0.3
1475,110,0.4
1475,130,0.2
1475,140,0.2
1475,150,0.1
1475,160,0.3
1475,170,0.2
1475,180,0.4
1475,200,0.2
1475,210,0.3
1475,220,0.3
1475,230,0.2
1475,270,0.2
1475,280,0.4
1475,290,0.3
1475,320,0.3
1475,330,0.2
1475,340,0.3
1234,79,0
1234,80,0.3
1234,90,0.3
1234,100,0.2
1234,110,0.3
1234,140,0.3
1234,150,0.4
1234,160,0.3
1234,220,0.3
1234,230,0.2
1234,240,0.3
1234,250,0.2
1234,260,0.3
1234,290,0.3
1234,300,0.2
1234,310,0.3
1234,340,0.3
1234,350,0.2
1570,79,0
1570,80,0.3
1570,140,0.3
1570,150,0.2
1570,250,0.2
1570,260,0.1
1468,79,0
1468,80,0.3
1468,140,0.3
1468,150,0.2
1468,260,0.2
1468,270,0.1
1226,79,0
1226,80,0.3
1226,110,0.3
1226,120,0.2
1226,130,0.3
1226,140,0.3
1226,150,0.2
1226,270,0.2
1226,280,0.1
1710,79,0
1710,80,0.5
1710,110,0.5
1710,120,0.4
1710,160,0.4
1710,170,0.3
1710,260,0.3
1710,270,0.2
1663,79,0
1663,80,0.5
1663,90,0.8
1663,110,1.6
1663,120,2.1
1663,130,3.3
1663,150,5.3
1663,160,6.1
1663,170,6.8
1663,210,8.4
1663,230,9
1663,240,9.2
1663,250,9.5
1663,280,10.1
1663,290,10.2
1663,300,10.4
1663,340,10.8
2207,79,0
2207,80,0.4
2207,90,0.4
2207,100,0.5
2207,110,0.4
2207,120,0.5
2207,130,0.5
2207,140,0.4
2207,150,0.4
2207,160,0.5
2207,170,0.5
2207,180,0.4
2207,190,0.5
2207,200,0.5
2207,210,0.4
2207,220,0.5
2207,230,0.3
2207,250,0.5
2207,260,0.5
2207,270,0.4
2207,280,0.4
2207,290,0.6
2207,300,0.4
2207,310,0.4
2207,320,0.5
2207,330,0.4
2207,340,0.5
1677,79,0
1677,80,0.4
1677,90,0.5
1677,130,0.5
1677,140,0.4
1677,180,0.4
1677,190,0.3
1677,280,0.3
1677,290,0.2
2541,79,0
2541,80,0.4
2541,100,0.4
2541,110,0.3
2541,120,0.3
2541,130,0.2
2541,240,0.2
2541,250,0.1
1548,79,0
1548,80,0.4
1548,100,0.8
1548,110,1.1
1548,130,2.5
1548,150,3.5
1548,170,4.1
1548,220,5.1
1548,280,5.7
1548,290,5.7
