CURVE,X,Y
2432,190,107.5
2432,210,118.9
2432,220,124.5
2432,230,130.2
2432,240,135.8
2432,260,147.2
2432,270,152.8
2432,280,158.5
2432,290,164.1
2432,299,169.2
1855,0,0.6
1855,1,0.6
1855,10,6.3
1855,20,12.6
1855,30,18.8
1855,70,44
1855,80,50.2
1855,120,75.4
1855,130,81.6
1855,170,106.8
1855,180,113
1855,220,138.2
1855,230,144.4
1855,270,169.6
1855,280,175.8
1855,290,182.1
1855,299,187.8
441,0,0.6
441,1,0.6
441,10,6.3
441,20,12.6
441,30,18.8
441,70,44
441,80,50.2
441,120,75.4
441,130,81.6
441,170,106.8
441,180,113
441,220,138.2
441,230,144.4
441,270,169.6
441,280,175.8
441,290,182.1
441,299,187.8
325,0,0.682
458,0,0.68593
445,0,0.68593
305,0,0.682
138,0,0.58794
124,0,0.58794
1344,0,0.8
2108,0,0.825
2100,0,0.825
235,0,0.8
2338,0,0.7
2338,1,0.7
2338,10,6.5
2338,20,13.1
2338,30,19.6
2338,40,26.2
2338,60,39.2
2338,70,45.8
2338,80,52.3
2338,90,58.9
2338,110,71.9
2338,120,78.5
2338,130,85
2338,140,91.6
2338,160,104.6
2338,170,111.2
2338,180,117.7
2338,190,124.3
2338,210,137.3
2338,220,143.9
2338,230,150.4
2338,240,157
2338,260,170
2338,270,176.6
2338,280,183.1
2338,290,189.7
2338,299,195.5
1253,0,0.7
1253,1,0.7
1253,10,6.5
1253,20,13.1
1253,30,19.6
1253,40,26.2
1253,60,39.2
1253,70,45.8
1253,80,52.3
1253,90,58.9
1253,110,71.9
1253,120,78.5
1253,130,85
1253,140,91.6
1253,160,104.6
1253,170,111.2
1253,180,117.7
1253,190,124.3
1253,210,137.3
1253,220,143.9
1253,230,150.4
1253,240,157
1253,260,170
1253,270,176.6
1253,280,183.1
1253,290,189.7
1253,299,195.5
2595,0,0.7
2595,1,0.7
2595,10,7.1
2595,20,14.3
2595,30,21.4
2595,40,28.6
2595,60,42.8
2595,70,50
2595,80,57.1
2595,90,64.3
2595,110,78.5
2595,120,85.7
2595,130,92.8
2595,140,100
2595,160,114.2
2595,170,121.4
2595,180,128.5
2595,190,135.7
2595,210,149.9
2595,220,157.1
2595,230,164.2
2595,240,171.4
2595,260,185.6
2595,270,192.8
2595,280,199.9
2595,290,207.1
2595,299,213.5
116,0,0.7
116,1,0.7
116,10,7.1
116,20,14.3
116,30,21.4
116,40,28.6
116,60,42.8
116,70,50
116,80,57.1
116,90,64.3
116,110,78.5
116,120,85.7
116,130,92.8
116,140,100
116,160,114.2
116,170,121.4
116,180,128.5
116,190,135.7
116,210,149.9
116,220,157.1
116,230,164.2
116,240,171.4
116,260,185.6
116,270,192.8
116,280,199.9
116,290,207.1
116,299,213.5
1403,0,0.5
1403,1,0.5
1403,20,10
1403,30,15.1
1403,70,35.1
1403,80,40.2
1403,120,60.2
1403,130,65.3
1403,170,85.3
1403,180,90.4
1403,220,110.4
1403,230,115.5
1403,270,135.5
1403,280,140.6
1403,299,150.1
3,0,0.5
3,1,0.5
3,10,5.2
3,20,10.4
3,30,15.7
3,70,36.5
